Agendamento,Embarcação,Agência,Operador,Status embarcação,Navegação,Carga principal,Peso da carga movimentada (t),Qtd. de carga movimentada (un.),Qtd. de contêineres movimentados (un.),Berço,Horário chegada no porto,Horário fundeio,Horário desfundeio,Horário atracação,Horário desatracação,Horário início operação,Horário término da operação,Soma do tempo de operação paralisada
170137,BT- OMS-XXV,OZIEL MUSTAFA DOS SANTOS E CIA LTDA,TEQUIMAR VILA DO CONDE LOGISTICA PORTUARIA SA,Desatracado,INTERIOR,ÓLEO COMBUSTÍVEL,"3,93",-,0,502,14/12/2023 07:55,,,14/12/2023 07:55,15/12/2023 18:30,14/12/2023 18:55,14/12/2023 22:05,0
170140,B/T PAÇO DA CORDA,SERVEPORTO AGENCIA MARITIMA LTDA.    (PVC),TEQUIMAR VILA DO CONDE LOGISTICA PORTUARIA SA,Desatracado,INTERIOR,ÓLEO COMBUSTÍVEL,"620,06",-,0,101,17/12/2023 06:30,,,17/12/2023 06:30,17/12/2023 11:20,17/12/2023 07:15,17/12/2023 10:55,0
170150,WALDECIR RODRIGUES MUSTAFA,OZIEL MUSTAFA DOS SANTOS E CIA LTDA,TEQUIMAR VILA DO CONDE LOGISTICA PORTUARIA SA,Desatracado,INTERIOR,GASOLINA,"3,00",-,0,502,17/12/2023 07:45,,,17/12/2023 07:45,17/12/2023 18:15,17/12/2023 09:40,17/12/2023 18:00,0
170153,B/T PAÇO DA CORDA,WILSON SONS SHIPPING SERVICES LTDA (PVC),PETROBRAS TRANSPORTES S/A- TRANSPETRO- BASE BELEM,Desatracado,INTERIOR,COMBUSTÍVEIS E ÓLEOS MINERAIS E PRODUTOS,"0,00",-,0,401,17/12/2023 00:50,,,17/12/2023 00:50,17/12/2023 05:40,17/12/2023 01:00,17/12/2023 05:00,0
170190,CANOA DO BIBI XVII,SERVEPORTO AGENCIA MARITIMA LTDA.    (PVC),CONVICON CONTEINERES DE VILA DO CONDE S/A,Desatracado,INTERIOR,CONTÊINERES,"1.564,52",40,110,R1,21/12/2023 08:21,,,21/12/2023 08:21,22/12/2023 15:45,21/12/2023 09:05,22/12/2023 14:00,0
170204,CANOA DO BIBI XVII,SERVEPORTO AGENCIA MARITIMA LTDA.    (PVC),CONVICON CONTEINERES DE VILA DO CONDE S/A,Desatracado,INTERIOR,CONTÊINERES,"838,00",40,75,R1,27/12/2023 08:00,,,27/12/2023 08:00,28/12/2023 06:45,27/12/2023 11:00,28/12/2023 06:20,0
170206,CELSO FURTADO,PETROLEO BRASILEIRO,TEQUIMAR VILA DO CONDE LOGISTICA PORTUARIA SA,Desatracado,CABOTAGEM,COMBUSTÍVEIS E ÓLEOS MINERAIS E PRODUTOS,"5,41",-,0,501,22/12/2023 18:05,,,22/12/2023 18:05,24/12/2023 06:25,23/12/2023 02:12,23/12/2023 17:30,0
170208,OMS VIII,OZIEL MUSTAFA DOS SANTOS E CIA LTDA,TEQUIMAR VILA DO CONDE LOGISTICA PORTUARIA SA,Desatracado,INTERIOR,COMBUSTÍVEIS E ÓLEOS MINERAIS E PRODUTOS,"2,12",-,0,502,19/12/2023 09:30,,,19/12/2023 09:30,19/12/2023 16:40,19/12/2023 11:19,19/12/2023 16:00,0
170212,AMÉRICO VESPÚCIO,WILSON SONS SHIPPING SERVICES LTDA (PVC),CONVICON CONTEINERES DE VILA DO CONDE S/A,Desatracado,CABOTAGEM,CONTÊINERES,"108,91",4,4,401,23/12/2023 05:08,,,23/12/2023 05:08,24/12/2023 11:52,23/12/2023 06:30,24/12/2023 11:30,0
170218,CONTSHIP DON,WILSON SONS SHIPPING SERVICES LTDA (PVC),CONVICON CONTEINERES DE VILA DO CONDE S/A,Desatracado,LONGO CURSO,CONTÊINERES,"1,87",-,0,401,26/12/2023 23:56,,,26/12/2023 23:56,27/12/2023 12:04,27/12/2023 01:27,27/12/2023 11:30,0
170225,PARAIBA 3000,ATEM S DISTRIB DE PETROLEO,TEQUIMAR VILA DO CONDE LOGISTICA PORTUARIA SA,Desatracado,INTERIOR,GASOLINA,"1,80",-,0,502,20/12/2023 16:20,,,20/12/2023 16:20,21/12/2023 09:05,20/12/2023 23:06,21/12/2023 04:20,0
170247,NORD TOKYO,LBH BRASIL AGENCIAMENTO MARITIMO LTDA. (PVC),ALUNORTE ALUMINA DO NORTE DO BRASIL SA,Desatracado,LONGO CURSO,ALUMINA,"31.501,09",-,0,201,21/12/2023 14:00,21/12/2023 14:00,22/12/2023 20:50,22/12/2023 21:20,24/12/2023 04:26,22/12/2023 23:08,23/12/2023 23:05,4:40
170265,LIBERDADE DO XINGÚ,ORION RODOS MARITIMA E PORTUARIA (PVC),ORION RODOS MARITIMA E PORTUARIA (PVC),Desatracado,INTERIOR,ABASTECIMENTO COMBUS,"250,00",-,0,201,20/12/2023 06:00,20/12/2023 06:00,20/12/2023 07:00,20/12/2023 07:40,20/12/2023 12:10,20/12/2023 08:00,20/12/2023 12:00,0
170269,HB TUCUNARÉ,SERVEPORTO AGENCIA MARITIMA LTDA.    (PVC),ALUNORTE ALUMINA DO NORTE DO BRASIL SA,Desatracado,CABOTAGEM,BAUXITA,"61.595,80",-,0,101,25/12/2023 14:10,,,25/12/2023 14:10,29/12/2023 03:06,25/12/2023 15:25,29/12/2023 00:00,0
170272,LIBERDADE DO XINGÚ,SERVEPORTO AGENCIA MARITIMA LTDA.    (PVC),TEQUIMAR VILA DO CONDE LOGISTICA PORTUARIA SA,Desatracado,INTERIOR,ÓLEO COMBUSTÍVEL,"540,33",-,0,101,20/12/2023 21:45,,,20/12/2023 21:45,21/12/2023 03:17,20/12/2023 22:50,21/12/2023 03:00,0
170274,RUBI,WILSON SONS SERVICOS MARÍTIMOS LTA. (REBOCADORES-PVC),WILSON SONS SERVICOS MARITIMOS LTDA,Desatracado,APOIO PORTUÁRIO,SEM CARGA,"1,48",-,0,202,21/12/2023 09:03,,,21/12/2023 09:03,21/12/2023 12:00,21/12/2023 09:09,21/12/2023 11:44,0
170281,B/T. OMS XVI,OZIEL MUSTAFA DOS SANTOS E CIA LTDA,TEQUIMAR VILA DO CONDE LOGISTICA PORTUARIA SA,Desatracado,INTERIOR,ALCOOL ANIDRO,"163,99",-,0,502,21/12/2023 11:45,,,21/12/2023 11:45,21/12/2023 18:28,21/12/2023 15:45,21/12/2023 16:40,0
170292,M/T PINE MEADOW,PETROLEO BRASILEIRO,ALUNORTE ALUMINA DO NORTE DO BRASIL SA,Desatracado,CABOTAGEM,COMBUSTÍVEIS E ÓLEOS MINERAIS E PRODUTOS,"11,40",-,0,501,29/12/2023 10:45,,,29/12/2023 10:45,30/12/2023 12:30,29/12/2023 15:06,30/12/2023 10:24,0
170316,LDC 023,LOUIS DREYFUS COMPANY BRASIL S.A,LOUIS DREYFUS COMPANY BRASIL S.A,Desatracado,INTERIOR,MILHO,"1.658,83",-,0,FUNDEIO2,23/12/2023 09:30,,,23/12/2023 09:30,23/12/2023 12:45,23/12/2023 11:20,23/12/2023 12:30,0
170317,LDC 006,LOUIS DREYFUS COMPANY BRASIL S.A,LOUIS DREYFUS COMPANY BRASIL SA,Desatracado,INTERIOR,MILHO,"1.835,87",-,0,FUNDEIO2,22/12/2023 13:35,,,22/12/2023 13:35,23/12/2023 08:55,23/12/2023 06:00,23/12/2023 08:40,0
170318,LDC 012,LOUIS DREYFUS COMPANY BRASIL S.A,LOUIS DREYFUS COMPANY BRASIL SA,Desatracado,INTERIOR,MILHO,"1.848,15",-,0,FUNDEIO2,23/12/2023 16:40,,,23/12/2023 16:40,23/12/2023 21:00,23/12/2023 16:45,23/12/2023 20:10,0
170319,LDC 008,LOUIS DREYFUS COMPANY BRASIL S.A,LOUIS DREYFUS COMPANY BRASIL SA,Desatracado,INTERIOR,MILHO,"1.838,97",-,0,FUNDEIO2,22/12/2023 06:20,,,22/12/2023 06:20,22/12/2023 13:45,22/12/2023 07:00,22/12/2023 13:00,0
170320,LDC 014,LOUIS DREYFUS COMPANY BRASIL S.A,LOUIS DREYFUS COMPANY BRASIL SA,Desatracado,INTERIOR,MILHO,"1.806,91",-,0,FUNDEIO2,23/12/2023 19:05,,,23/12/2023 19:05,24/12/2023 09:20,23/12/2023 23:05,24/12/2023 09:10,0
170321,LDC 007,LOUIS DREYFUS COMPANY BRASIL S.A,LOUIS DREYFUS COMPANY BRASIL S.A,Desatracado,INTERIOR,MILHO,"1,70",-,0,FUNDEIO2,25/12/2023 13:00,,,25/12/2023 13:00,25/12/2023 18:45,25/12/2023 15:05,25/12/2023 18:30,0
170431,OMS XXIX,OZIEL MUSTAFA DOS SANTOS E CIA LTDA,TEQUIMAR VILA DO CONDE LOGISTICA PORTUARIA SA,Desatracado,INTERIOR,ÓLEO DIESEL,"2,50",-,0,502,27/12/2023 07:30,,,27/12/2023 07:30,27/12/2023 23:00,27/12/2023 12:00,27/12/2023 16:48,0
170440,RUBI,WILSON SONS SERVICOS MARÍTIMOS LTA. (REBOCADORES-PVC),WILSON SONS SERVICOS MARITIMOS LTDA,Desatracado,APOIO PORTUÁRIO,SEM CARGA,"0,03",-,0,202,28/12/2023 12:10,,,28/12/2023 12:10,28/12/2023 14:47,28/12/2023 13:00,28/12/2023 14:30,0
170445,B/T. OMS XVI,OZIEL MUSTAFA DOS SANTOS E CIA LTDA,TEQUIMAR VILA DO CONDE LOGISTICA PORTUARIA SA,Desatracado,INTERIOR,ALCOOL ANIDRO,"3.147,03",-,0,502,28/12/2023 08:15,,,28/12/2023 08:15,28/12/2023 22:35,28/12/2023 11:05,28/12/2023 21:12,1:33
170466,SERRA DOURADA XXIII,TRANSDOURADA NAVEGAÇÃO LTDA,TEQUIMAR VILA DO CONDE LOGISTICA PORTUARIA SA,Desatracado,INTERIOR,COMBUSTÍVEIS E ÓLEOS MINERAIS E PRODUTOS,"2.149,04",-,0,502,29/12/2023 07:00,,,29/12/2023 07:00,29/12/2023 20:25,29/12/2023 10:50,29/12/2023 17:35,1:26
170479,LDC 007,LOUIS DREYFUS COMPANY BRASIL S.A,LOUIS DREYFUS COMPANY BRASIL SA,Desatracado,INTERIOR,MILHO,"1.738,11",-,0,FUNDEIO2,25/12/2023 13:00,,,25/12/2023 13:00,25/12/2023 18:45,25/12/2023 17:25,25/12/2023 18:30,0
170480,LDC 042,LOUIS DREYFUS COMPANY BRASIL S.A,LOUIS DREYFUS COMPANY BRASIL SA,Desatracado,INTERIOR,MILHO,"1.663,06",-,0,FUNDEIO2,25/12/2023 13:00,,,25/12/2023 13:00,26/12/2023 03:40,25/12/2023 18:45,26/12/2023 03:35,0
170481,LDC 038,LOUIS DREYFUS COMPANY BRASIL S.A,MEGA LOGISTICA SERVICOS PORTUARIOS LTDA,Desatracado,INTERIOR,MILHO,"1.667,35",-,0,FUNDEIO2,27/12/2023 21:10,,,27/12/2023 21:10,28/12/2023 17:25,28/12/2023 08:25,28/12/2023 13:15,0
170482,LDC 014,LOUIS DREYFUS COMPANY BRASIL S.A,MEGA LOGISTICA SERVICOS PORTUARIOS LTDA,Desatracado,INTERIOR,MILHO,"63,55",-,0,FUNDEIO2,31/12/2023 13:40,,,31/12/2023 13:40,31/12/2023 18:05,31/12/2023 15:55,31/12/2023 18:04,0
170483,LDC 032,LOUIS DREYFUS COMPANY BRASIL S.A,LOUIS DREYFUS COMPANY BRASIL SA,Desatracado,INTERIOR,MILHO,"1.654,21",-,0,FUNDEIO2,30/12/2023 16:30,,,30/12/2023 16:30,31/12/2023 13:35,30/12/2023 16:35,31/12/2023 13:00,0
170485,LDC 034,LOUIS DREYFUS COMPANY BRASIL S.A,LOUIS DREYFUS COMPANY BRASIL SA,Desatracado,INTERIOR,MILHO,"1.706,83",-,0,FUNDEIO2,29/12/2023 19:10,,,29/12/2023 19:10,30/12/2023 07:25,29/12/2023 20:40,29/12/2023 23:15,0
170486,LDC 063,LOUIS DREYFUS COMPANY BRASIL S.A,LOUIS DREYFUS COMPANY BRASIL SA,Desatracado,INTERIOR,MILHO,"1.505,03",-,0,FUNDEIO2,30/12/2023 16:30,,,30/12/2023 16:30,31/12/2023 18:05,31/12/2023 13:00,31/12/2023 18:00,0
170620,LDC 015,LOUIS DREYFUS COMPANY BRASIL S.A,LOUIS DREYFUS COMPANY BRASIL SA,Desatracado,INTERIOR,MILHO,"2.087,09",-,0,FUNDEIO2,30/12/2023 03:50,,,30/12/2023 03:50,30/12/2023 07:25,30/12/2023 03:55,30/12/2023 07:10,0
170622,LDC 020,LOUIS DREYFUS COMPANY BRASIL S.A,LOUIS DREYFUS COMPANY BRASIL SA,Desatracado,INTERIOR,MILHO,"2.270,05",-,0,FUNDEIO2,30/12/2023 07:35,,,30/12/2023 07:35,30/12/2023 16:30,30/12/2023 07:40,30/12/2023 12:40,0
170623,LDC 061,LOUIS DREYFUS COMPANY BRASIL S.A,LOUIS DREYFUS COMPANY BRASIL SA,Desatracado,INTERIOR,MILHO,"2.066,35",-,0,FUNDEIO2,30/12/2023 07:35,,,30/12/2023 07:35,30/12/2023 16:30,30/12/2023 12:40,30/12/2023 15:50,0
170696,LIBERDADE DO XINGÚ,GLOBAL AGENCIA MARITIMA LTDA EPP,PETROBRAS TRANSPORTES S/A - TRANSPETRO,Desatracado,APOIO PORTUÁRIO,ÓLEO COMBUSTÍVEL,"0,98",-,0,FUNDEIO1,29/12/2023 07:00,,,29/12/2023 07:00,29/12/2023 13:00,29/12/2023 07:05,29/12/2023 12:55,0
